name,group,Rank,Rating,Reviews,Min Installs,max_installs
Slots by Jackpotjoy,Casino,195,4.19,16215,1000000,5000000
ONLINE RPG AVABEL,Role Playing,196,4.3,135256,1000000,5000000
MADDEN NFL 25 by EA SPORTS,Sports,197,4.3,108320,1000000,5000000
"Vault-Hide SMS, Pics & Videos",Business,198,4.43,314040,10000000,50000000
TETRISI Blitz,Puzzle,199,4.44,106548,1000000,5000000
9 Innings: 2014 Pro Baseball,Sports,200,4.57,297977,5000000,10000000
Dragon Story,Casual,201,4.22,116371,5000000,10000000
Throne Wars,Strategy,202,4.13,34370,1000000,5000000
Nemo's Reef,Strategy,203,4.17,139646,10000000,50000000
Angry Birds Friends,Arcade,204,4.2,236754,10000000,50000000
Family Feud & Friends,Trivia,205,4.39,309097,10000000,50000000
Bingo PartyLand,Casino,206,4.03,6161,500000,1000000
AA for Kakao,Role Playing,207,4.35,137095,1000000,5000000
Words With Friends Free,Word,208,4.31,1547549,10000000,50000000
Ice Age Village,Casual,209,4.41,1101335,10000000,50000000
Scramble With Friends Free,Word,210,4.57,397684,10000000,50000000
Lord of the Dragons,Casual,211,4.11,7835,500000,1000000
Restaurant Story: Springtime,Casual,212,4.16,19428,500000,1000000
Smurfs' Village,Casual,213,4.53,573621,10000000,50000000
Party in my Dorm,Casual,214,4.13,20743,1000000,5000000
Tagged - Meet New People,Social,215,4.11,277054,5000000,10000000
MY LITTLE PONY,Casual,216,4.39,288180,10000000,50000000
Heroes of Atlan,Role Playing,217,4.3,26244,100000,500000
XCOM: Enemy Unknown,Strategy,218,4.6,3992,10000,50000
Solitaire TriPeaks by GSN,Card,219,4.17,10578,500000,1000000
Bingo Rush 2,Casino,220,4.09,9401,500000,1000000
Royal Revolt 2,Action,221,4.42,97153,1000000,5000000
Baldur's Gate Enhanced Edition,Role Playing,222,4.57,2955,10000,50000
Crime Inc.,Role Playing,223,4.37,12812,500000,1000000
Bubble Mania,Arcade,224,4.17,162792,10000000,50000000
Diamond Dash,Arcade,225,4.52,727741,10000000,50000000
Grand Theft Auto: San Andreas,Action,226,4.33,48052,100000,500000
Norton Security & Antivirus,Tools,227,4.43,285161,10000000,50000000
Clash of Lords,Strategy,228,4.55,186553,1000000,5000000
X-Men: Battle of the Atom,Role Playing,229,3.69,2509,50000,100000
Hungry Shark Evolution,Arcade,230,4.43,724950,10000000,50000000
Panda Pop,Puzzle,231,4.01,44904,1000000,5000000
Coin Dozer,Casino,232,4.49,622074,10000000,50000000
DC Comics,Comics,233,4.16,7486,1000000,5000000
Magisto Video Editor & Maker,Photography,234,4.34,307175,10000000,50000000
Ultimate Guitar Tabs & Chords,Music & Audio,235,4.58,40608,500000,1000000
Bike Race Free - Top Free Game,Action,236,4.55,704476,10000000,50000000
Bingo,Casino,237,4.36,59169,500000,1000000
Next Launcher 3D Shell,Personalization,238,4.54,34353,100000,500000
Wild Bingo - FREE Bingo+Slots,Casino,239,4.35,128291,1000000,5000000
NASCAR MOBILE,Sports,240,4.01,31226,1000000,5000000
DEAD TRIGGER 2,Action,241,4.5,584933,5000000,10000000
Airport City,Simulation,242,4.51,393298,5000000,10000000
R.B.I. Baseball 14,Sports,243,4.08,150,1000,5000
Slots,Card,244,4.16,46817,5000000,10000000
Grepolis,Strategy,245,4.26,64862,1000000,5000000
Slots Fairytale: FREE SLOTS,Casino,246,4.46,9493,500000,1000000
AntiVirus Security - FREE,Communication,247,4.4,1678226,100000000,500000000
Paperama,Puzzle,248,4.42,500268,5000000,10000000
Arcane Legends,Role Playing,249,4.47,158775,10000000,50000000
Paradise Island,Simulation,250,4.6,907604,10000000,50000000
Eternal Uprising: End of Days,Card,251,4.04,8748,100000,500000
Stilland War HD(Adventure RPG),Role Playing,252,4,10859,500000,1000000
HELLO HERO,Role Playing,253,4.34,96893,1000000,5000000
NBA JAM by EA SPORTS,Sports,254,4.15,15521,100000,500000
SwiftKey Keyboard,Productivity,255,4.65,427064,1000000,5000000
Eredan Arena - Card Game,Card,256,4.52,39889,500000,1000000
NASCAR RACEVIEW MOBILE,Sports,257,3.86,3186,100000,500000
MONOPOLY Bingo,Casino,258,3.94,20914,1000000,5000000
War 2 Victory,Strategy,259,4.15,19851,1000000,5000000
Sing! Karaoke by Smule,Music & Audio,260,3.86,47656,1000000,5000000
Machinarium,Adventure,261,4.62,6196,50000,100000
"Chat, Meet People - Moco Chat",Social,262,4.18,125355,5000000,10000000
Devil Maker: Tokyo,Card,263,4.14,7333,100000,500000
RoboCop,Action,264,4.2,536658,10000000,50000000
DOWNTOWN MAFIA (RPG) - FREE,Role Playing,265,4.42,13975,500000,1000000
AnastasiaDate,Social,266,4.02,10323,1000000,5000000
Tiny Monsters,Casual,267,4.26,80335,1000000,5000000
Evernote,Productivity,268,4.65,907901,10000000,50000000
Flutter,Arcade,269,4.2,11220,100000,500000
Jetpack Joyride,Arcade,270,4.35,1311470,50000000,100000000
LINE COOKIE RUN,Arcade,271,4.44,1568683,10000000,50000000
WhitePages,Travel & Local,272,4.42,26970,1000000,5000000
Campus Life,Casual,273,3.91,50838,1000000,5000000
SpongeBob Moves In,Simulation,274,3.87,1804,10000,50000
Get Followers On Instagram,Social,275,4.38,14446,100000,500000
NBA General Manager 2014,Sports,276,4.11,28477,500000,1000000
Lost Bubble - Bubble Shooter,Arcade,277,4.43,80618,1000000,5000000
Flow Free,Puzzle,278,4.4,488200,50000000,100000000
D&D Arena of War,Arcade,279,3.8,21229,1000000,5000000
Battle Command!,Strategy,280,4.21,44148,1000000,5000000
Legend of Minerva,Action,281,3.85,5108,1000000,5000000
RPG IRUNA Online MMORPG,Role Playing,282,4.07,20350,500000,1000000
Greed for Glory: Elder Magicks,Strategy,283,4.16,1943,100000,500000
Bakery Story,Casual,284,4.37,260111,10000000,50000000
Book of Heroes,Role Playing,285,4.29,20864,500000,1000000
Angry Birds Star Wars II Free,Arcade,286,4.31,484521,10000000,50000000
